"CommR","topKw"
1,"collaborative learning"
2,"high school"
3,"collaborative learning"
4,"collaborative learning"
5,"learning environment"
6,"instructional design"
7,"learning environment"
8,"learning environment"
9,"learning environment"
10,"high school"
11,"learning activity"
12,"teacher student"
13,"high school"
14,"learning environment"
15,"case study"
16,"learning environment"
17,"learning environment"
18,"high school"
19,"problem solving"
20,"problem solving"
22,"collaborative learning"
23,"collaborative learning"
24,"professional development"
25,"collaborative learning"
26,"collaborative learning"
27,"learning environment"
28,"learning environment"
29,"teacher student"
30,"small group"
31,"collaborative work"
33,"collaborative learning"
34,"knowledge construction"
35,"middle school"
36,"elementary school"
37,"learning environment"
38,"collaborative learning"
39,"school classroom"
40,"collaborative learning"
41,"communication technology"
42,"learning environment"
43,"collaborative learning"
44,"conceptual framework"
45,"collaborative learning"
46,"learning environment"
47,"learning environment"
48,"learning environment"
49,"collaborative learning"
50,"learning environment"
NA,"collaborative learning"
