"CommR","topKw"
1,"learning activity"
2,"middle school"
3,"learning environment"
4,"conceptual knowledge"
5,"learning gain"
6,"learning science"
7,"problem solving"
8,"student learning"
9,"class discussion"
10,"professional development"
11,"science education"
13,"case study"
14,"knowledge building"
16,"learning science"
17,"learning experience"
18,"learning environment"
20,"middle school"
21,"learning environment"
22,"student discourse"
23,"learning activity"
24,"case study"
26,"group student"
27,"science education"
28,"education program"
30,"learning task"
31,"learning goal"
32,"small group"
34,"learning process"
35,"design process"
36,"learning environment"
37,"middle school"
38,"learning context"
39,"collaborative learning"
40,"prior knowledge"
41,"problem solving"
42,"learning environment"
43,"design principle"
44,"case study"
45,"student learning"
46,"case study"
47,"learning outcome"
50,"learning process"
51,"collaborative learning"
52,"science inquiry"
53,"learning environment"
54,"learning environment"
55,"case study"
56,"learning environment"
57,"case study"
58,"learning environment"
59,"high school"
61,"collaborative learning"
62,"design-based research"
63,"middle school"
64,"science education"
65,"student engaged"
66,"learning environment"
67,"student engaged"
69,"learning environment"
70,"science education"
71,"community practice"
72,"collaborative learning"
73,"graduate student"
74,"science education"
75,"collaborative learning"
76,"learning environment"
77,"learning environment"
78,"learning environment"
79,"high school"
80,"professional development"
82,"learning environment"
83,"high school"
84,"collaborative learning"
85,"learning science"
86,"prior knowledge"
87,"teacher student"
88,"student learning"
89,"knowledge building"
90,"conceptual understanding"
91,"prior knowledge"
92,"knowledge building"
93,"high school"
94,"learning process"
95,"prior knowledge"
NA,"learning environment"
